3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,2,2,R,3
3,2,2,2,3,2,2,2,2,R,3
3,2,2,2,2,2,2,3,3,3,3
3,3,3,3,2,2,2,2,2,2,3
3,3,3,3,3,3,3,3,2,2,3
3,3,3,3,3,3,3,3,2,2,3
3,L,2,2,3,3,3,2,2,3,3
3,L,2,2,2,3,3,3,2,2,3
3,3,3,3,2,2,3,2,2,2,3
3,3,3,2,2,2,2,2,2,3,3
3,3,3,3,3,2,2,2,3,3,3
3,3,3,3,3,3,2,2,3,3,3
3,L,2,2,3,3,3,3,3,3,3
3,L,2,2,2,3,3,3,3,3,3
3,3,3,2,2,2,3,3,3,3,3
3,3,3,3,2,2,2,3,3,3,3
3,3,3,3,2,2,2,3,2,2,3
3,2,2,3,3,2,2,3,2,2,3
3,2,2,2,2,2,2,2,2,2,3
3,2,2,3,U,U,3,2,2,2,3
3,3,3,3,3,3,3,3,3,3,3
